captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,1,1,9YkriwQOtUrZ291iUo,Sakihokoru Toki o Matsu no wa,,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/9YkriwQOtUrZ291iUo,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,2,3,_-E6Lp-OB8cu0TpU1y,"Fire ~Hai ni Nattemo, Moetsuku Bokura~",,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/_-E6Lp-OB8cu0TpU1y,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,3,2,4n9rcBg43TYuqOSuih,"Invincible ~Mata, Soyatte~",,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/4n9rcBg43TYuqOSuih,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,4,4,Cm6bMUhltBWGp2RJlD,Utsushikagami ~Nikushimi no Hokosaki~,,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/Cm6bMUhltBWGp2RJlD,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,5,11,4rrljBqQSSJLqXLryf,パッパパラダイス,,パッパパラダイス,宇多田光,https://www.kkbox.com/tw/en/artist/Cno9q5i5Ft4y5vDR3_,https://www.kkbox.com/tw/en/song/4rrljBqQSSJLqXLryf,https://www.kkbox.com/tw/en/album/0qNQcgdwW0hFkUg090,"https://i.kfs.io/album/global/291472129,0v3/fit/500x500.jpg",1777996800,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,6,5,Sk8KrPe2Fd6eB74EwB,Atsuraeta yo ni Arawareta Kimi ~TO GET HER~,,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/Sk8KrPe2Fd6eB74EwB,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,7,6,0qEupZ_akH9Q8LSBEH,Shiroi Hoshi (MELO),,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/0qEupZ_akH9Q8LSBEH,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,8,8,OkVYd0C3wySdIa15V8,Boku dake ga Tsurai Ichinichi de wa nai hazu,,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/OkVYd0C3wySdIa15V8,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,9,7,Clqh8o7oFKtg17go_-,MAD WORLD,,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/Clqh8o7oFKtg17go_-,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,10,10,8nzUlqu1Mjx8RPsIMC,Chasin' the Sun (Kimi no Sokudo de),,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/8nzUlqu1Mjx8RPsIMC,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,11,9,_-aaLp-OB8cu339WP8,Shall We Dance,,Sakihokoru Toki o Matsu no wa,藝聲 (YESUNG),https://www.kkbox.com/tw/en/artist/HZMUBx0zUOvYT1_vKk,https://www.kkbox.com/tw/en/song/_-aaLp-OB8cu339WP8,https://www.kkbox.com/tw/en/album/CowCcc-O1JHryIv9e_,"https://i.kfs.io/album/global/292418873,0v3/fit/500x500.jpg",1776960000,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,12,12,8piNz8Pr2c2ek-kAKg,小豆あらい,,LACE UP,LiSA,https://www.kkbox.com/tw/en/artist/Ok4Hb-NM0d0goeUbbf,https://www.kkbox.com/tw/en/song/8piNz8Pr2c2ek-kAKg,https://www.kkbox.com/tw/en/album/ClmAZKzRhWIkA8Gnwr,"https://i.kfs.io/album/global/291883644,0v3/fit/500x500.jpg",1776182400,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,13,15,XZXB1yrpIDECqpxqkc,OPENiNG -LACE UP-,,LACE UP,LiSA,https://www.kkbox.com/tw/en/artist/Ok4Hb-NM0d0goeUbbf,https://www.kkbox.com/tw/en/song/XZXB1yrpIDECqpxqkc,https://www.kkbox.com/tw/en/album/ClmAZKzRhWIkA8Gnwr,"https://i.kfs.io/album/global/291883644,0v3/fit/500x500.jpg",1776182400,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,14,13,0m9CbYQM-zGvNjdFeV,HOMEだよ,,LACE UP,LiSA,https://www.kkbox.com/tw/en/artist/Ok4Hb-NM0d0goeUbbf,https://www.kkbox.com/tw/en/song/0m9CbYQM-zGvNjdFeV,https://www.kkbox.com/tw/en/album/ClmAZKzRhWIkA8Gnwr,"https://i.kfs.io/album/global/291883644,0v3/fit/500x500.jpg",1776182400,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,15,14,_-ckgd-OB8cu0cSkK3,あばよ,,LACE UP,LiSA,https://www.kkbox.com/tw/en/artist/Ok4Hb-NM0d0goeUbbf,https://www.kkbox.com/tw/en/song/_-ckgd-OB8cu0cSkK3,https://www.kkbox.com/tw/en/album/ClmAZKzRhWIkA8Gnwr,"https://i.kfs.io/album/global/291883644,0v3/fit/500x500.jpg",1776182400,false
2026-08-31,2026-05-11,2026-05-11,daily,japanese,newrelease,16,19,OtjLRpnd3DzwbIJgTU,あぶく,,あぶく,ヨルシカ,https://www.kkbox.com/tw/en/artist/GnUPWoRjnXAaRWPnwR,https://www.kkbox.com/tw/en/song/OtjLRpnd3DzwbIJgTU,https://www.kkbox.com/tw/en/album/8rpdoAU7LZoqN2YFjh,"https://i.kfs.io/album/global/292410278,0v2/fit/500x500.jpg",1776787200,false
