captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,1,2,L-0GPHvRXlYLtCr3M2,GG EZ (Speed Up),,Game Mode (Speed Up),M.Sasuke,#,#,#,"https://i.kfs.io/album/global/294657444,0v1/fit/500x500.jpg",1781280000,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,2,3,4oMAyQ-KtWt5ncFzmT,ICONIC BY MISTAKE,,ICONIC BY MISTAKE,"LE SSERAFIM, ILLIT, KATSEYE",https://www.kkbox.com/tw/en/artist/La05rTGfMgHOvZEKae,https://www.kkbox.com/tw/en/song/4oMAyQ-KtWt5ncFzmT,https://www.kkbox.com/tw/en/album/H_59hZ8X2kp-9Gvf6d,"https://i.kfs.io/album/global/294727741,0v1/fit/500x500.jpg",1781193600,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,3,4,-m2BcEszyaWqVmAmMc,DNA (More Than A Game),,Official FIFA World Cup 2026™ Album (Opening Ceremony Edition),FIFA Sound,https://www.kkbox.com/tw/en/artist/LaIsa8H_MgHOvBBvZf,https://www.kkbox.com/tw/en/song/-m2BcEszyaWqVmAmMc,https://www.kkbox.com/tw/en/album/PX7pwHLHQ7mrwubWhS,"https://i.kfs.io/album/global/294641625,0v2/fit/500x500.jpg",1781020800,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,4,5,P-ttrVRGhnTeN4PIcg,stupid song,,you seem pretty sad for a girl so in love,Olivia Rodrigo (奧莉維亞),https://www.kkbox.com/tw/en/artist/Oq9hRd2mTHuFppDvx-,https://www.kkbox.com/tw/en/song/P-ttrVRGhnTeN4PIcg,https://www.kkbox.com/tw/en/album/Wq11ew94G8C8lQNVK8,"https://i.kfs.io/album/global/294721080,0v3/fit/500x500.jpg",1781193600,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,5,6,8rZT6dM059bDSbi96w,Danceteria,,CONFESSIONS II,Madonna (瑪丹娜),https://www.kkbox.com/tw/en/artist/4oTe3ZodDH7zAS2z04,https://www.kkbox.com/tw/en/song/8rZT6dM059bDSbi96w,https://www.kkbox.com/tw/en/album/SletK8zdTiaK2sSuwg,"https://i.kfs.io/album/global/295377571,0v2/fit/500x500.jpg",1783008000,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,6,7,GmgQrqCT7q4F41YOwB,Ignore,,Loser.,Karencici,https://www.kkbox.com/tw/en/artist/4sI_p8dLYqFkAZdMDd,https://www.kkbox.com/tw/en/song/GmgQrqCT7q4F41YOwB,https://www.kkbox.com/tw/en/album/Haliyxuf_dvJLLoC4z,"https://i.kfs.io/album/global/294612675,0v2/fit/500x500.jpg",1781798400,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,7,8,P_jhNhc6adNrhO17VH,Heaven,,"My Mess, My Heart, My Life.",Myles Smith,https://www.kkbox.com/tw/en/artist/8srhRNlszbMOkNTbZn,https://www.kkbox.com/tw/en/song/P_jhNhc6adNrhO17VH,https://www.kkbox.com/tw/en/album/LZTnKGk-2Z7b3hI2h7,"https://i.kfs.io/album/global/294316864,0v3/fit/500x500.jpg",1781798400,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,8,10,D_NmDH-6Otw-Z8YmcD,Watch It Burn,,Watch It Burn,Katy Perry (凱蒂佩芮),https://www.kkbox.com/tw/en/artist/KkkG9MlinYMj_RrpYm,https://www.kkbox.com/tw/en/song/D_NmDH-6Otw-Z8YmcD,https://www.kkbox.com/tw/en/album/OnDx0FDOrs6SptB7ev,"https://i.kfs.io/album/global/294969164,0v2/fit/500x500.jpg",1782316800,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,9,11,0oYEA2Xnhv4OTfzixg,u + me = <3,,you seem pretty sad for a girl so in love,Olivia Rodrigo (奧莉維亞),https://www.kkbox.com/tw/en/artist/Oq9hRd2mTHuFppDvx-,https://www.kkbox.com/tw/en/song/0oYEA2Xnhv4OTfzixg,https://www.kkbox.com/tw/en/album/Wq11ew94G8C8lQNVK8,"https://i.kfs.io/album/global/294721080,0v3/fit/500x500.jpg",1781193600,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,10,12,8rr9-TM059bDSFMJXO,Look at My Life,,Look at My Life,Gracie Abrams,#,#,#,"https://i.kfs.io/album/global/295212845,0v2/fit/500x500.jpg",1782316800,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,11,14,D_q23Y-6Otw-bxmv54,maggots for brains,,you seem pretty sad for a girl so in love,Olivia Rodrigo (奧莉維亞),https://www.kkbox.com/tw/en/artist/Oq9hRd2mTHuFppDvx-,https://www.kkbox.com/tw/en/song/D_q23Y-6Otw-bxmv54,https://www.kkbox.com/tw/en/album/Wq11ew94G8C8lQNVK8,"https://i.kfs.io/album/global/294721080,0v3/fit/500x500.jpg",1781193600,false
2026-08-31,2026-07-06,2026-07-06,daily,western,newrelease,12,16,4taZXsKYLX0lHd7wNk,The Time Of My Life,,The Time Of My Life,Benson Boone,https://www.kkbox.com/tw/en/artist/-nt16tS8LGYcE3mf73,https://www.kkbox.com/tw/en/song/4taZXsKYLX0lHd7wNk,https://www.kkbox.com/tw/en/album/0t4sW1V8K_vh_ZfPV7,"https://i.kfs.io/album/global/294718105,0v4/fit/500x500.jpg",1782316800,false
